fips,adate,sutter_county,case_count,case_count_sex_f,case_count_low_ice,case_count_medicaid
6008,01021999,kpsc,21,19,9.5,9.5
6009,01021999,kpsc,17,15,7.5,7.5
6041,01021999,sutter,19,17,8.5,8.5
6001,01031999,kpsc,21,19,9.5,9.5
6003,01031999,kpsc,18,16,8,8
6005,01031999,kpsc,25,23,11.5,11.5
6006,01031999,kpsc,22,20,10,10
6008,01031999,kpsc,22,20,10,10
6009,01031999,kpsc,20,18,9,9
6041,01031999,sutter,17,15,7.5,7.5
6001,01041999,kpsc,22,20,10,10
6003,01041999,kpsc,23,21,10.5,10.5
6005,01041999,kpsc,20,18,9,9
6006,01041999,kpsc,19,17,8.5,8.5
6008,01041999,kpsc,21,19,9.5,9.5
6009,01041999,kpsc,21,19,9.5,9.5
6041,01041999,sutter,18,16,8,8
6001,01051999,kpsc,19,17,8.5,8.5
6003,01051999,kpsc,20,18,9,9
6005,01051999,kpsc,22,20,10,10
6006,01051999,kpsc,24,22,11,11
6008,01051999,kpsc,17,15,7.5,7.5
6009,01051999,kpsc,19,17,8.5,8.5
6041,01051999,sutter,22,20,10,10
6001,01061999,kpsc,20,18,9,9
6003,01061999,kpsc,21,19,9.5,9.5
6005,01061999,kpsc,18,16,8,8
6006,01061999,kpsc,19,17,8.5,8.5
6008,01061999,kpsc,20,18,9,9
6009,01061999,kpsc,18,16,8,8
6041,01061999,sutter,22,20,10,10
6001,01071999,kpsc,17,15,7.5,7.5
6003,01071999,kpsc,21,19,9.5,9.5
6005,01071999,kpsc,20,18,9,9
6006,01071999,kpsc,17,15,7.5,7.5
6008,01071999,kpsc,23,21,10.5,10.5
6009,01071999,kpsc,20,18,9,9
6041,01071999,sutter,19,17,8.5,8.5
6001,01081999,kpsc,21,19,9.5,9.5
6003,01081999,kpsc,19,17,8.5,8.5
6005,01081999,kpsc,19,17,8.5,8.5
6006,01081999,kpsc,18,16,8,8
6008,01081999,kpsc,21,19,9.5,9.5
6009,01081999,kpsc,18,16,8,8
6041,01081999,sutter,20,18,9,9
6001,01091999,kpsc,19,17,8.5,8.5
6003,01091999,kpsc,19,17,8.5,8.5
6005,01091999,kpsc,21,19,9.5,9.5
6006,01091999,kpsc,21,19,9.5,9.5
6008,01091999,kpsc,19,17,8.5,8.5
6009,01091999,kpsc,21,19,9.5,9.5
6041,01091999,sutter,16,14,7,7
6001,01101999,kpsc,18,16,8,8
6003,01101999,kpsc,20,18,9,9
6005,01101999,kpsc,23,21,10.5,10.5
6006,01101999,kpsc,17,15,7.5,7.5
6008,01101999,kpsc,17,15,7.5,7.5
6009,01101999,kpsc,20,18,9,9
6041,01101999,sutter,20,18,9,9
6001,01111999,kpsc,17,15,7.5,7.5
6003,01111999,kpsc,20,18,9,9
6005,01111999,kpsc,19,17,8.5,8.5
6006,01111999,kpsc,20,18,9,9
6008,01111999,kpsc,18,16,8,8
6009,01111999,kpsc,19,17,8.5,8.5
6041,01111999,sutter,18,16,8,8
6001,01121999,kpsc,22,20,10,10
6003,01121999,kpsc,19,17,8.5,8.5
6005,01121999,kpsc,19,17,8.5,8.5
6006,01121999,kpsc,16,14,7,7
6008,01121999,kpsc,20,18,9,9
6009,01121999,kpsc,19,17,8.5,8.5
6041,01121999,sutter,22,20,10,10
6001,01131999,kpsc,22,20,10,10
6003,01131999,kpsc,19,17,8.5,8.5
